epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6084,2.23156,2.73978,1.92792,0.1773,0.24444,0.10067,0.03721,2.10712,10.0228,2.20607,0.000659341,0.000659341,0.000659341
2,65.7733,2.14202,2.40264,1.89081,0.35265,0.40261,0.2864,0.12957,1.89342,2.56215,1.80641,0.00131288,0.00131288,0.00131288
3,93.7724,2.16858,2.36836,1.89838,0.28172,0.45015,0.21781,0.09857,1.92812,4.62676,1.81138,0.00195322,0.00195322,0.00195322
4,121.589,2.14723,2.37442,1.83298,0.32831,0.44575,0.27701,0.12309,1.92798,3.12404,1.74923,0.0019406,0.0019406,0.0019406
5,149.534,2.12993,2.34267,1.86284,0.49374,0.49593,0.46306,0.24033,1.80338,2.67246,1.65695,0.0019208,0.0019208,0.0019208
6,177.751,2.03644,2.1938,1.76322,0.49677,0.54248,0.47104,0.24725,1.72938,2.11033,1.59426,0.001901,0.001901,0.001901
7,206.043,1.99093,2.16246,1.74632,0.49185,0.54771,0.48938,0.25754,1.68925,1.95357,1.54295,0.0018812,0.0018812,0.0018812
8,234.407,1.94964,2.11596,1.72058,0.51165,0.52866,0.5109,0.26444,1.70282,2.06038,1.55456,0.0018614,0.0018614,0.0018614
9,262.992,1.88905,2.03072,1.67768,0.57702,0.62353,0.57628,0.33417,1.55327,1.98096,1.45598,0.0018416,0.0018416,0.0018416
10,291.505,1.87723,2.02194,1.66652,0.59555,0.59346,0.58895,0.31787,1.56162,1.77364,1.46889,0.0018218,0.0018218,0.0018218
11,319.85,1.83153,2.00722,1.64133,0.66403,0.63529,0.67094,0.37232,1.53722,1.4877,1.43647,0.001802,0.001802,0.001802
12,348.363,1.78509,1.91593,1.59823,0.57868,0.68758,0.60408,0.3307,1.52151,1.67768,1.42889,0.0017822,0.0017822,0.0017822
13,376.762,1.72851,1.89288,1.56165,0.62007,0.66144,0.62547,0.37774,1.43438,1.64152,1.38208,0.0017624,0.0017624,0.0017624
14,405.421,1.76912,1.94477,1.60002,0.54996,0.65359,0.59319,0.32335,1.52545,1.7015,1.44906,0.0017426,0.0017426,0.0017426
15,433.878,1.70438,1.82198,1.55672,0.63702,0.66275,0.65243,0.37068,1.49355,1.42999,1.41652,0.0017228,0.0017228,0.0017228
16,462.337,1.68458,1.79356,1.53433,0.58353,0.64444,0.59517,0.34801,1.46468,1.48422,1.41505,0.001703,0.001703,0.001703
17,490.806,1.69928,1.82917,1.55251,0.60481,0.72157,0.64014,0.37797,1.39328,1.36548,1.33744,0.0016832,0.0016832,0.0016832
18,519.464,1.65198,1.78188,1.52761,0.63861,0.75033,0.69175,0.41738,1.38191,1.43791,1.33697,0.0016634,0.0016634,0.0016634
19,548.194,1.67513,1.82883,1.54225,0.62708,0.69281,0.66049,0.36235,1.45568,1.45185,1.36646,0.0016436,0.0016436,0.0016436
20,576.703,1.61231,1.74048,1.4932,0.68232,0.67451,0.69723,0.43158,1.36987,1.34462,1.33975,0.0016238,0.0016238,0.0016238
21,605.384,1.6208,1.75789,1.50383,0.71763,0.66275,0.72985,0.46219,1.35296,1.35651,1.33245,0.001604,0.001604,0.001604
22,634.087,1.56284,1.66749,1.45168,0.62722,0.69061,0.69873,0.42724,1.38258,1.3205,1.34779,0.0015842,0.0015842,0.0015842
23,662.647,1.56284,1.66782,1.45089,0.68055,0.7098,0.73701,0.46631,1.31709,1.22949,1.29675,0.0015644,0.0015644,0.0015644
24,691.353,1.5534,1.66811,1.4624,0.72136,0.7281,0.72098,0.46026,1.30351,1.3063,1.29004,0.0015446,0.0015446,0.0015446
25,719.848,1.5084,1.61634,1.42484,0.70967,0.71254,0.73981,0.47272,1.28158,1.25687,1.28125,0.0015248,0.0015248,0.0015248
26,748.537,1.51592,1.60275,1.43443,0.66845,0.72288,0.72155,0.4574,1.28806,1.26083,1.29766,0.001505,0.001505,0.001505
27,777.094,1.48678,1.59517,1.41879,0.57685,0.70588,0.61675,0.37215,1.38115,1.37664,1.31904,0.0014852,0.0014852,0.0014852
28,805.625,1.50197,1.65896,1.44351,0.67243,0.73072,0.70817,0.43227,1.31508,1.23896,1.29136,0.0014654,0.0014654,0.0014654
29,834.086,1.45193,1.5269,1.39376,0.75467,0.7098,0.77877,0.51211,1.26382,1.18746,1.26849,0.0014456,0.0014456,0.0014456
30,862.804,1.46218,1.55399,1.40718,0.6541,0.71634,0.68056,0.4361,1.24615,1.2577,1.26552,0.0014258,0.0014258,0.0014258
31,891.351,1.44576,1.51646,1.39814,0.72958,0.73355,0.75307,0.46891,1.28286,1.20075,1.27589,0.001406,0.001406,0.001406
32,919.857,1.46017,1.58847,1.41848,0.76286,0.67843,0.76909,0.50065,1.2505,1.20257,1.26169,0.0013862,0.0013862,0.0013862
33,948.412,1.45933,1.56851,1.42092,0.70356,0.73464,0.74591,0.47397,1.25597,1.17939,1.25554,0.0013664,0.0013664,0.0013664
34,976.889,1.44749,1.5482,1.40068,0.69842,0.73856,0.74531,0.48904,1.21366,1.1856,1.24923,0.0013466,0.0013466,0.0013466
35,1005.48,1.38054,1.48068,1.34357,0.71672,0.74379,0.75,0.46316,1.27145,1.16162,1.25814,0.0013268,0.0013268,0.0013268
36,1034,1.44028,1.54488,1.38879,0.65591,0.75002,0.70352,0.44162,1.27643,1.21841,1.27155,0.001307,0.001307,0.001307
37,1062.58,1.37963,1.49789,1.35502,0.69644,0.73333,0.73957,0.47948,1.25479,1.17498,1.27409,0.0012872,0.0012872,0.0012872
38,1091.2,1.4309,1.58169,1.38286,0.69025,0.75686,0.7887,0.50596,1.18468,1.13032,1.23687,0.0012674,0.0012674,0.0012674
39,1119.71,1.39993,1.47077,1.37654,0.70271,0.70757,0.73994,0.48431,1.18953,1.16758,1.23744,0.0012476,0.0012476,0.0012476
40,1148.17,1.34463,1.42396,1.33236,0.65909,0.78596,0.73668,0.49361,1.17989,1.10771,1.22102,0.0012278,0.0012278,0.0012278
41,1176.71,1.33834,1.42137,1.33712,0.61057,0.79739,0.68945,0.44959,1.20287,1.11461,1.23882,0.001208,0.001208,0.001208
42,1205.14,1.33734,1.42041,1.32655,0.74892,0.75686,0.80141,0.53736,1.17612,1.08225,1.21041,0.0011882,0.0011882,0.0011882
43,1233.83,1.38631,1.46748,1.35109,0.75121,0.74597,0.77756,0.50843,1.20724,1.11071,1.22109,0.0011684,0.0011684,0.0011684
44,1262.34,1.36381,1.47737,1.35283,0.71015,0.74641,0.77317,0.48476,1.26712,1.1339,1.25788,0.0011486,0.0011486,0.0011486
45,1290.86,1.36701,1.45501,1.3323,0.70537,0.71668,0.72265,0.44664,1.25777,1.16634,1.25334,0.0011288,0.0011288,0.0011288
46,1319.4,1.29918,1.36074,1.29336,0.65901,0.75425,0.71347,0.4707,1.19552,1.12138,1.22814,0.001109,0.001109,0.001109
47,1347.87,1.29724,1.37694,1.29363,0.7204,0.76119,0.7522,0.48159,1.2545,1.13045,1.26458,0.0010892,0.0010892,0.0010892
48,1376.44,1.313,1.37578,1.32909,0.70199,0.7634,0.76643,0.51566,1.18027,1.13006,1.21764,0.0010694,0.0010694,0.0010694
49,1405.02,1.28776,1.37241,1.29582,0.72413,0.76209,0.77187,0.5112,1.21267,1.17206,1.23016,0.0010496,0.0010496,0.0010496
50,1433.58,1.27815,1.36533,1.28728,0.70104,0.7451,0.73522,0.48231,1.21071,1.11472,1.23024,0.0010298,0.0010298,0.0010298
51,1462.12,1.27898,1.37847,1.29923,0.71571,0.74702,0.75116,0.48845,1.21973,1.08393,1.23211,0.00101,0.00101,0.00101
52,1490.6,1.23521,1.30743,1.28405,0.70319,0.7451,0.75314,0.49135,1.20905,1.10947,1.23423,0.0009902,0.0009902,0.0009902
53,1519.06,1.24817,1.32284,1.28076,0.72383,0.73464,0.76684,0.50298,1.22585,1.10706,1.25122,0.0009704,0.0009704,0.0009704
54,1547.62,1.19067,1.25075,1.24591,0.68919,0.72754,0.73131,0.47564,1.21543,1.13838,1.2336,0.0009506,0.0009506,0.0009506
55,1576.14,1.23758,1.33385,1.2758,0.71264,0.76209,0.77951,0.52775,1.16378,1.05452,1.204,0.0009308,0.0009308,0.0009308
56,1604.61,1.19744,1.29945,1.24679,0.75079,0.72418,0.77535,0.51383,1.2059,1.0824,1.22968,0.000911,0.000911,0.000911
57,1633.23,1.21449,1.2467,1.23772,0.70175,0.8,0.75462,0.50016,1.19518,1.07555,1.21839,0.0008912,0.0008912,0.0008912
58,1661.74,1.2655,1.33868,1.28098,0.60399,0.79739,0.68647,0.44339,1.18984,1.10971,1.21658,0.0008714,0.0008714,0.0008714
59,1690.27,1.16806,1.21532,1.22724,0.75275,0.74641,0.78673,0.52764,1.17978,1.07388,1.22062,0.0008516,0.0008516,0.0008516
60,1718.76,1.2201,1.29203,1.26347,0.70849,0.80392,0.75082,0.50929,1.13703,1.06891,1.18551,0.0008318,0.0008318,0.0008318
61,1747.24,1.1842,1.24002,1.23423,0.74847,0.77797,0.77668,0.53553,1.16844,1.01778,1.20771,0.000812,0.000812,0.000812
